id,"model_type",model_id,"collection_name","name","file_name","mime_type","disk",size,"manipulations","custom_properties","responsive_images",order_column,"created_at","updated_at"
1,"App\\Company",1,"logo","5decf3bd727b9_continental-motor logo","5decf3bd727b9_continental-motor-logo.png","image/png","public",5661,"[]","{\"generated_conversions\": {\"thumb\": true}}","[]",1,"2019-12-08 13:00:25","2019-12-08 13:00:25"
4,"App\\Agent",4,"banner_image","5e2006f70ae06_agent-header","5e2006f70ae06_agent-header.jpg","image/jpeg","public",30927,"[]","{\"generated_conversions\": {\"thumb\": true}}","[]",4,"2020-01-16 06:47:21","2020-01-16 06:47:21"
5,"App\\Agent",4,"banner_image","5e2062927b108_image-placeholder","5e2062927b108_image-placeholder.png","image/png","public",41400,"[]","{\"generated_conversions\": {\"thumb\": true}}","[]",5,"2020-01-16 13:18:12","2020-01-16 13:18:12"
6,"App\\Agent",4,"logo","5e2330ccb297c_poly trade","5e2330ccb297c_poly-trade.jpeg","image/jpeg","public",10798,"[]","{\"generated_conversions\": {\"thumb\": true}}","[]",6,"2020-01-18 16:22:38","2020-01-18 16:22:38"
7,"App\\Agent",4,"logo","5e233da621280_poly trade","5e233da621280_poly-trade.png","image/png","public",44651,"[]","{\"generated_conversions\": {\"thumb\": true}}","[]",7,"2020-01-18 17:17:28","2020-01-18 17:17:28"
8,"App\\Agent",6,"logo","5e256169304ad_navira","5e256169304ad_navira.png","image/png","public",9208,"[]","{\"generated_conversions\": {\"thumb\": true}}","[]",8,"2020-01-20 08:14:38","2020-01-20 08:14:38"
9,"App\\Agent",6,"banner_image","5e2566b393abd_Screenshot 2020-01-20 at 14.36.36","5e2566b393abd_Screenshot-2020-01-20-at-14.36.36.png","image/png","public",2043325,"[]","{\"generated_conversions\": {\"thumb\": true}}","[]",9,"2020-01-20 08:37:10","2020-01-20 08:37:11"
10,"App\\Employer",1,"logo","5e271476a8a50_matching-guide-logo","5e271476a8a50_matching-guide-logo.png","image/png","public",1758,"[]","{\"generated_conversions\": {\"thumb\": true}}","[]",10,"2020-01-21 15:13:06","2020-01-21 15:13:06"
11,"App\\Employer",2,"logo","5e285fc3af53a_matching-guide-logo","5e285fc3af53a_matching-guide-logo.png","image/png","public",1758,"[]","{\"generated_conversions\": {\"thumb\": true}}","[]",11,"2020-01-22 14:44:23","2020-01-22 14:44:23"
12,"App\\Partner",1,"logo","5e2d165158b3c_Screenshot 2020-01-26 at 10.16.06","5e2d165158b3c_Screenshot-2020-01-26-at-10.16.06.png","image/png","public",92149,"[]","{\"generated_conversions\": {\"thumb\": true}}","[]",12,"2020-01-26 04:32:19","2020-01-26 04:32:19"
13,"App\\Member",2,"photo","5e2d182430c98_banner","5e2d182430c98_banner.jpg","image/jpeg","public",139877,"[]","{\"generated_conversions\": {\"thumb\": true}}","[]",13,"2020-01-26 04:40:06","2020-01-26 04:40:06"
14,"App\\Member",3,"photo","5e2d1b23b412b_banner","5e2d1b23b412b_banner.jpg","image/jpeg","public",139877,"[]","{\"generated_conversions\": {\"thumb\": true}}","[]",14,"2020-01-26 04:53:00","2020-01-26 04:53:00"
20,"App\\User",1,"profile_picture","programmer","programmer.png","image/png","public",12127,"[]","{\"generated_conversions\": {\"thumb\": true}}","[]",15,"2020-01-27 12:13:54","2020-01-27 12:13:54"
21,"App\\User",1,"profile_picture","logo-login","logo-login.png","image/png","public",2676,"[]","{\"generated_conversions\": {\"thumb\": true}}","[]",16,"2020-01-27 12:14:10","2020-01-27 12:14:10"
22,"App\\User",1,"profile_picture","35 (1)","35-(1).jpg","image/jpeg","public",219551,"[]","{\"generated_conversions\": {\"thumb\": true}}","[]",17,"2020-01-27 16:02:56","2020-01-27 16:02:57"
23,"App\\User",1,"profile_picture","programmer","programmer.png","image/png","public",12127,"[]","{\"generated_conversions\": {\"thumb\": true, \"avatar\": true}}","[]",18,"2020-01-27 16:06:04","2020-01-27 16:06:04"
24,"App\\Country",18,"flag","5e300bdd988f6_bangladesh","5e300bdd988f6_bangladesh.png","image/png","public",8965,"[]","{\"generated_conversions\": {\"thumb\": true}}","[]",19,"2020-01-28 10:24:31","2020-01-28 10:24:32"
25,"App\\Country",19,"flag","5e300bef0ac6a_japan","5e300bef0ac6a_japan.png","image/png","public",7681,"[]","{\"generated_conversions\": {\"thumb\": true}}","[]",20,"2020-01-28 10:24:48","2020-01-28 10:24:48"
26,"App\\Country",20,"flag","5e300bff3ca1d_vietnam","5e300bff3ca1d_vietnam.png","image/png","public",7191,"[]","{\"generated_conversions\": {\"thumb\": true}}","[]",21,"2020-01-28 10:25:05","2020-01-28 10:25:05"
27,"App\\Member",4,"photo","5e3130ebe769b_Screenshot 2020-01-29 at 13.14.36","5e3130ebe769b_Screenshot-2020-01-29-at-13.14.36.png","image/png","public",92104,"[]","{\"generated_conversions\": {\"thumb\": true}}","[]",22,"2020-01-29 07:14:55","2020-01-29 07:14:55"
28,"App\\Setting",1,"logo","5e3263937394b_taglog","5e3263937394b_taglog.png","image/png","public",17593,"[]","{\"generated_conversions\": {\"thumb\": true}}","[]",23,"2020-01-30 05:03:19","2020-01-30 05:03:20"
